record	uuid	code1	code2	code3	code4	code5	code6	code7
337	e0bsqqdws865nsa4						1	
339	cg5979ysgetd94wk	23						
344	gdhbjgba0ej5jf49	1						
347	ceuud4br93pjb39h	3	9	20				
348	hmrd2jz9thq7vjga						1	
349	y4vzp5fsnhutp4c1	16	17					
351	zqf9d99sxskvhg01	13	17					
352	qdxm7jv7qc81vdw7						1	
354	uwtwas2jd2kj7pgv	13						
355	tvps3f6atrwxa459	3	9	16	19			
364	ugfpr9gd2hgng2dd						1	
365	nsdha1pprg82tpgz	11	16	17				
371	udj8vetxg0dxchcz	17						
399	nwuge9uztbxh9fj0	2						
403	pd0jhj5dtvdfjmra						1	
404	bsa6rxx6s7n3n4y4	13	17					
407	j1y1d4tmb4hzkyhx	3	20					
410	hf30pem8kqva56gp	2						
411	1xyqsryrhm60gsn2	2						
412	ymhsn1wpt6aqre1t	17	20					
413	zbjdz47u1vkgzxv1						1	
414	x601xn6n2sdvx5fb	9						
415	h76ctjee7jx94v7a	3	22					
416	n786kqjv16qt6f8u						1	
417	haayh9jz0w42xamk	3						
418	e6x2s8q9y9p9smwa						1	
419	kpdv3djbfqkbvbgt	1						
420	g2cs1n883ebw92fx						1	
421	qpd7yd49zd3hk9nk	13	23					
426	vzcgceq5feqr01cb						1	
435	jkk3cdcyqyr7eym2						1	
437	0d5n5r75wc6pkk12						1	
438	tcmba7wx0drdf0ea	11	13	17				
440	x2yfrcgw7ka8z1bk	2						
441	585xdz8u03htkyze	23						
442	uyv767mvdbtf9trp						1	
443	wj9d9dbtqy1knye4	2						
444	y65syge5qz5dpuee						1	
445	ghevq29n072yjyuh						1	
448	4nrmheny19vhv4rw						1	
449	5hjea32y602edrc1						1	
453	b5224s6v6fzmes2j						1	
454	dg8vjf8r09qh8y0s						1	
457	xn4w6h5eyf5wesd1						1	
458	c692v8xgjwqf2bqj	9	22					
460	0ckjcjxdtgukeeaa	11	12					
462	k3jtz2usmz2vrztn	3	20					
463	4p7tg6h90hzyasrn	1						
465	zdcv9r7tumqp3v2m	2						
466	53fm02u89b5dtnzr	2						
470	w8x41xzs4mc6hp5e	2						
475	b5xhujk76tq2z490	2						
478	v1389jes77czbaje						1	
480	x2knkx147x3027uy	11	13					
483	dfptw2x1qgndmt18	2						
484	3uxcaq973vmhbwzs	9	12					
485	xe8z3zg13b2shm65	3	9					
486	kvxc3w7tu4xmzk3e	2						
489	t3zadb1y1hbz9hns	1						
491	4n2gt74a9m7br3n2						1	
496	nav25gd9cbpke5uv	20	23					
499	6z1tetg7jcmg1ycm	9	16	17	19			
500	w2pebw5wu3n1rxt9	2						
501	hyzabcthjt74hg5c	4	20					
511	kajd3z8b8sdgpwys	23						
513	gftfura5eg6zzuvy						1	
514	14u1a03mfj9y3dbm	1						
515	uc0q7x501kn7vvjc	2						
516	vnvc6eg17hwkrhh1	11	14	17				
517	rp2h1qkywu73crfa	9						
519	73my1fcpx076ynqs	2						
521	sn2ve9qu5duwt9v2						1	
522	nsw8hzbbfnjhfmgn	16						
525	e8nqdtzfkb4mawx5	22						
526	kj8q4zuyctsyhm8s	13						
527	q0zjbnz23wdmpgs2						1	
529	5jmstefa3gawv6yk						1	
535	pfa2ytfgh6mma2hs	2						
536	0z5fp9zwgackj45d						1	
537	6h9c9591y3tepqkb	2						
538	3a8snzqw6ppsvk9u	4	10	12				
548	2ywctsdsxv7anz2a	3	7	9	16	17		20
551	1xc3za8xvwa43zy2						1	
552	pemyf8787w01wqjb	2						
553	fp3ypahc7rvxzebh						1	
558	k04ddhyqfppd44ht	16	17	18				
560	4gcd2hf6wqqr635j	20						
563	gqw5cvxj05s56ajm	3	17					
564	kmg2qgnnq7ntprry	22						
565	mrtr9kfcc6vj1n8p						1	
568	yv5zfgn5xne6a8qp	17						
570	qysa2fa0xzwcpwj4						1	
571	p7ghrj2xe741hnzp						1	
576	1utb00qca4u0d31f						1	
577	ud8pnwjsn3gmkurn	23						
582	strts0fahc5r2ahr						1	
583	bn4t7gqj5h5cze8s	13						
585	ddjaatqn1rkfxhux						1	
590	a46x6j0rjk6bm3mc	2						
591	x2dmk4qtd3reqktg	3						
592	qw2vt6k8satw6av8						1	
593	me6afj1v2yq2f0mf	20	23					
599	h0sm6fecktm3q7gb						1	
600	wgz0udz9edn8auws	1						
601	grm73n75xnj4kg3r	2						
605	zsa6q05ffdstmysd	13	23					
608	me75s68fr1g5504w	2						
609	qt0xry5zxp3eyc0z	3						
610	746mv56f8stf8wgb						1	
620	v9qj8dc3gfjrt70k	9	16	17				
621	wecsum0uk0fw8wnb	3						
622	ks2dub2d2ynep9q5	2						
623	6q9k42vnkrd7dgzy	19						
624	j4vu64d6yv9sqqum	2						
625	31b10tgjjbt0n6b0						1	
629	dxeq0hwf3q0ana3z	3	12					
630	zcpx9xdpbsnsr2yv	17						
631	pq2ctddga4134nq3	2						
632	d4x49h9a6p0r5m65						1	
633	93kyg9m4wjd39fat	2						
635	r4frjmxzw0ue77pt						1	
639	j8ax93myn9qjypd6						1	
643	55y0mvehuvyvuyh8						1	
644	rdg0vxz8ww29y0uv						1	
645	n5789ert949wc7nc						1	
646	4ydjknhgw5ndvpse	23						
648	bpgz6e9sq5ztvdnp	16	17	19				
649	hshrqn4aw9x9gxxk						1	
651	hg2e03pua034pt4m						1	
652	phzgurzaa3n5f32q						1	
653	891yhj82he3dyh6a	20						
654	2r0xbckm2e1r8647						1	
655	c0udkbwb6v78h7dv						1	
656	3awbqkrtxay8rsrm	2						
657	zqde20w5mz2h0yj6	2						
658	vbej894yxv7bat7h						1	
659	gex8kw1bqwdccv57	13	16	17				
660	dt0x5pq9gp5u3w6z	23						
662	kapr69m7gf2yvch0						1	
663	vtq20gzbazzkgu7y	2						
664	sxngf9hmm0sqdavq	4						
665	15j2njtayr7a73g7	2						
666	bg62yr082y2vqq7t	17						
667	2mrrvf7jtx1ch797	16	17					
669	8znt09zhd5bqstgt						1	
671	wq75kk45cexud4jw	1						
672	qf52hxng0247pbdy	17						
677	aqttqv6bx210h65p	2						
678	um9z9j6c8e2breh9	3						
680	qfsmt7rvk1u6q4v2						1	
685	m87zrw805dqgv3hy	23						
687	j8wd7m4qmyyf0ved	3						
688	9d2sfxcmbe0wdp3a	3						
693	6q74fz8kzpx4cqqc	20	22					
694	bfr01ze8kgztwd4h						1	
696	4dg9a5ca0261ke0j	9	12					
701	3uprbhzzu374h18t	11	17					
703	vzg4bp0vefguqj8r						1	
705	p8uvhxer4663q1fx						1	
706	0a4gc9rexc231v54	9	20					
708	p0m4td38ey42mmtx	2						
719	gvx21j044pc6j0fg	3						
723	5f53by92bh8x5h9w	4						
727	hs44wgbnwm03c9hd						1	
728	nc2989h67ntu9arm						1	
735	qs1yttvh2ct0p0be						1	
737	1wr00gvdp34yv1jn	5						
739	fjtsq7sgxv6n74vj	5						
740	qwu81zh21609yd5a						1	
741	0c81m82hc26kc432						1	
744	af7v62j2durxm35b						1	
747	edk13f4b26r5h8gq						1	
751	g3hm7efxqdnnpynq						1	
761	bgcwqvyq262d36uw						1	
762	vj99b54f61u8ssh3	5						
763	5pq46qjcu22wkf7g	2						
767	10s592tkrk56vxhf	3	20					
769	00mnfv1jy4thuj02						1	
771	vumhz31uj768mq19	2						
773	xvpa4cg076hx3df6	23						
774	4cuxr0ukzenjnur4	1						
776	d3g4kvuqesyntptx	2						
778	9qnwhh3k9gm4e7zv	2						
780	44w9tnjxfknjf9ej	9						
795	hzadjnc16nh0hckd						1	
800	pz06tmssn8ujm5df	9	17					
801	q4cca5bf2xfafbyw	20						
802	68hcn8t3cexw5he0	13						
803	2wcmsz4zazunm726	9						
804	dqhc3gmpg7uk1nsb						1	
805	qsv2ns0sjcgywxy7						1	
806	p319gfghg3gm1ya4	2						
807	bmc67fgpgmbx8280						1	
809	5man678034bue7qv	2						
810	kum6jqgzbja1a33y	2						
811	b5be78kqvauhqm3y	16	17	18				
816	q15gxqts3413ftb9	3						
817	7qe4s9721z8mra7y						1	
820	9uj2n407037tgex6						1	
821	g60tcph5mangg53m	2						
823	zvjyk1wdss5qbf7k	17						
824	9vyu7g36gc6u386d	15	20					
827	cv9s2mkfzte5jtaf	2						
831	74rgr423nne7vkqy	2						
833	hjehdhsuyjtsu80t						1	
835	7cur804w66a677tw						1	
840	5amfqqre15f7drt5	16	20					
842	rrs1p3fwx96nuyh2	4	9	11	20			
843	aqm07zpwejps6fex	1						
846	e8edzy4egqvaxjg6	9	20					
847	rjz8s8baf8ydvpxg	3						
849	08vz50p0ethxqwhh	23						
854	w85x8rxsdt51u132						1	
856	764paxaemqet86un	2						
857	ez74d6r2rk7a804f						1	
862	3c7tu73v8k5xpa8y						1	
863	2z6575ym1s3spw1r						1	
864	e3krcascn1bmbv83	5	15	16				
865	bnvr28m2uegvbyu1						1	
867	v29xjdqnyj6tckae						1	
868	n4ajuf05r190u322						1	
869	mhmhvx2x2qu8u34x	2						
874	sxa4c837xg7d4da1	18						
876	3vr5c7hszcs1wr6t	4						
878	8y9qp1abk31d56h5	2						
883	r610n24ck75f9na8						1	
884	7ngkf52kphcq4mfd	23						
888	bzf7r4d27gu8rs4v	2						
890	j0e71s6qqppvztc6						1	
895	byw7ukrgd363sx87						1	
897	bdvkqs4h14cnshfv						1	
898	bjp3acmua3pw46v0	4						
901	dduj2t21tg21jyw8	3	4	17				
905	ty6g1yffvtekf47d						1	
906	7z8pvvy2pe57fjrf						1	
908	nn3n05nhk14nq9uf	2						
910	taz7gnes4h9jqutg	3	22					
911	54p740rbfn3emtn1	23						
916	1kra634q0ubz579v	17						
921	d0vycmegdj7v7kn2	9	15					
923	ayvucggbwdygwa64						1	
924	e4hjk07h4ekhfyey	9	19					
925	1g9pc4w5y5xc9pjh	9						
