record	uuid	code1	code2	code3	code4
354	uwtwas2jd2kj7pgv	7			
355	tvps3f6atrwxa459	7	11		
364	ugfpr9gd2hgng2dd				
365	nsdha1pprg82tpgz	9	11		
371	udj8vetxg0dxchcz			1	
399	nwuge9uztbxh9fj0	3			
403	pd0jhj5dtvdfjmra				
404	bsa6rxx6s7n3n4y4			1	
407	j1y1d4tmb4hzkyhx	4			
410	hf30pem8kqva56gp			1	
411	1xyqsryrhm60gsn2			1	
412	ymhsn1wpt6aqre1t			1	
413	zbjdz47u1vkgzxv1				
414	x601xn6n2sdvx5fb	4	5		
415	h76ctjee7jx94v7a	1			
416	n786kqjv16qt6f8u				
417	haayh9jz0w42xamk			1	
418	e6x2s8q9y9p9smwa				
419	kpdv3djbfqkbvbgt	1			
420	g2cs1n883ebw92fx				
421	qpd7yd49zd3hk9nk			1	
426	vzcgceq5feqr01cb				
435	jkk3cdcyqyr7eym2				
437	0d5n5r75wc6pkk12				
438	tcmba7wx0drdf0ea	1			
440	x2yfrcgw7ka8z1bk			1	
441	585xdz8u03htkyze			1	
442	uyv767mvdbtf9trp				
443	wj9d9dbtqy1knye4	1			
444	y65syge5qz5dpuee				
445	ghevq29n072yjyuh				
448	4nrmheny19vhv4rw				
449	5hjea32y602edrc1				
453	b5224s6v6fzmes2j				
454	dg8vjf8r09qh8y0s				
457	xn4w6h5eyf5wesd1				
458	c692v8xgjwqf2bqj	5			
460	0ckjcjxdtgukeeaa	4	5		
462	k3jtz2usmz2vrztn	4			
463	4p7tg6h90hzyasrn			1	
465	zdcv9r7tumqp3v2m			1	
466	53fm02u89b5dtnzr	4			
470	w8x41xzs4mc6hp5e	2			
475	b5xhujk76tq2z490	99			
478	v1389jes77czbaje				
480	x2knkx147x3027uy			1	
483	dfptw2x1qgndmt18			1	
484	3uxcaq973vmhbwzs	4	5		
485	xe8z3zg13b2shm65	7			
486	kvxc3w7tu4xmzk3e	3	8		
489	t3zadb1y1hbz9hns			1	
491	4n2gt74a9m7br3n2				
496	nav25gd9cbpke5uv			1	
499	6z1tetg7jcmg1ycm	1			
500	w2pebw5wu3n1rxt9	1			
501	hyzabcthjt74hg5c			1	
511	kajd3z8b8sdgpwys			1	
513	gftfura5eg6zzuvy				
514	14u1a03mfj9y3dbm			1	
515	uc0q7x501kn7vvjc	5			
516	vnvc6eg17hwkrhh1			1	
517	rp2h1qkywu73crfa	1			
519	73my1fcpx076ynqs			1	
521	sn2ve9qu5duwt9v2				
522	nsw8hzbbfnjhfmgn	1			
525	e8nqdtzfkb4mawx5	7			
526	kj8q4zuyctsyhm8s	4			
527	q0zjbnz23wdmpgs2				
529	5jmstefa3gawv6yk				
535	pfa2ytfgh6mma2hs			1	
536	0z5fp9zwgackj45d				
537	6h9c9591y3tepqkb	1			
538	3a8snzqw6ppsvk9u	4			
548	2ywctsdsxv7anz2a	2	4		
551	1xc3za8xvwa43zy2				
552	pemyf8787w01wqjb			1	
553	fp3ypahc7rvxzebh				
558	k04ddhyqfppd44ht	7			
560	4gcd2hf6wqqr635j			1	
563	gqw5cvxj05s56ajm	4	5		
564	kmg2qgnnq7ntprry	7			
565	mrtr9kfcc6vj1n8p				
568	yv5zfgn5xne6a8qp	7			
570	qysa2fa0xzwcpwj4				
571	p7ghrj2xe741hnzp				
576	1utb00qca4u0d31f				
577	ud8pnwjsn3gmkurn	7			
582	strts0fahc5r2ahr				
583	bn4t7gqj5h5cze8s			1	
585	ddjaatqn1rkfxhux				
590	a46x6j0rjk6bm3mc			1	
591	x2dmk4qtd3reqktg	4	16		
592	qw2vt6k8satw6av8				
593	me6afj1v2yq2f0mf			1	
599	h0sm6fecktm3q7gb				
600	wgz0udz9edn8auws			1	
601	grm73n75xnj4kg3r	7			
605	zsa6q05ffdstmysd	7			
608	me75s68fr1g5504w			1	
609	qt0xry5zxp3eyc0z	4	12		
610	746mv56f8stf8wgb				
620	v9qj8dc3gfjrt70k	1			
621	wecsum0uk0fw8wnb	7			
622	ks2dub2d2ynep9q5	7			
623	6q9k42vnkrd7dgzy	5	13		
624	j4vu64d6yv9sqqum			1	
625	31b10tgjjbt0n6b0				
629	dxeq0hwf3q0ana3z	4	5		
630	zcpx9xdpbsnsr2yv	3	8		
631	pq2ctddga4134nq3	5			
632	d4x49h9a6p0r5m65				
633	93kyg9m4wjd39fat			1	
635	r4frjmxzw0ue77pt				
639	j8ax93myn9qjypd6				
643	55y0mvehuvyvuyh8				
644	rdg0vxz8ww29y0uv				
645	n5789ert949wc7nc				
646	4ydjknhgw5ndvpse	1			
648	bpgz6e9sq5ztvdnp			1	
649	hshrqn4aw9x9gxxk				
651	hg2e03pua034pt4m				
652	phzgurzaa3n5f32q				
653	891yhj82he3dyh6a	1			
654	2r0xbckm2e1r8647				
655	c0udkbwb6v78h7dv				
656	3awbqkrtxay8rsrm	7			
657	zqde20w5mz2h0yj6	7			
658	vbej894yxv7bat7h				
659	gex8kw1bqwdccv57	4	5		10
660	dt0x5pq9gp5u3w6z			1	
662	kapr69m7gf2yvch0				
663	vtq20gzbazzkgu7y			1	
664	sxngf9hmm0sqdavq			1	
665	15j2njtayr7a73g7			1	
666	bg62yr082y2vqq7t			1	
667	2mrrvf7jtx1ch797	4	5		14
669	8znt09zhd5bqstgt				
671	wq75kk45cexud4jw			1	
672	qf52hxng0247pbdy			1	
677	aqttqv6bx210h65p			1	
678	um9z9j6c8e2breh9			1	
680	qfsmt7rvk1u6q4v2				
685	m87zrw805dqgv3hy			1	
687	j8wd7m4qmyyf0ved	4	5		
688	9d2sfxcmbe0wdp3a			1	
693	6q74fz8kzpx4cqqc	5	9		
694	bfr01ze8kgztwd4h				
696	4dg9a5ca0261ke0j			1	
701	3uprbhzzu374h18t			1	
703	vzg4bp0vefguqj8r				
705	p8uvhxer4663q1fx				
706	0a4gc9rexc231v54	1			
708	p0m4td38ey42mmtx			1	
719	gvx21j044pc6j0fg	1			
723	5f53by92bh8x5h9w			1	
727	hs44wgbnwm03c9hd				
728	nc2989h67ntu9arm				
735	qs1yttvh2ct0p0be				
737	1wr00gvdp34yv1jn			1	
739	fjtsq7sgxv6n74vj			1	
740	qwu81zh21609yd5a				
741	0c81m82hc26kc432				
744	af7v62j2durxm35b				
747	edk13f4b26r5h8gq				
751	g3hm7efxqdnnpynq				
761	bgcwqvyq262d36uw				
762	vj99b54f61u8ssh3	7			
763	5pq46qjcu22wkf7g	4			
767	10s592tkrk56vxhf			1	
769	00mnfv1jy4thuj02				
771	vumhz31uj768mq19			1	
773	xvpa4cg076hx3df6			1	
774	4cuxr0ukzenjnur4			1	
776	d3g4kvuqesyntptx	7			
778	9qnwhh3k9gm4e7zv			1	
780	44w9tnjxfknjf9ej	9			
795	hzadjnc16nh0hckd				
800	pz06tmssn8ujm5df			1	
801	q4cca5bf2xfafbyw	1			
802	68hcn8t3cexw5he0			1	
803	2wcmsz4zazunm726			1	
804	dqhc3gmpg7uk1nsb				
805	qsv2ns0sjcgywxy7				
806	p319gfghg3gm1ya4			1	
807	bmc67fgpgmbx8280				
809	5man678034bue7qv			1	
810	kum6jqgzbja1a33y			1	
811	b5be78kqvauhqm3y			1	
816	q15gxqts3413ftb9	1			
817	7qe4s9721z8mra7y				
820	9uj2n407037tgex6				
821	g60tcph5mangg53m			1	
823	zvjyk1wdss5qbf7k	5			
824	9vyu7g36gc6u386d			1	
827	cv9s2mkfzte5jtaf	7			
831	74rgr423nne7vkqy	1			
833	hjehdhsuyjtsu80t				
835	7cur804w66a677tw				
840	5amfqqre15f7drt5	2			
842	rrs1p3fwx96nuyh2	5	98		
843	aqm07zpwejps6fex	1			
